UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	28
0	1
0	2
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	85
0	3
0	0
0	0
0	31
0	505
1	72
0	0
1	0
0	572
0	330
16	573
0	200
0	401
13	188
0	255
0	75
13	1
2	468
842	779
0	461
0	271
2	252
0	624
0	426
21	243
0	662
33	2886
7	2839
0	131
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	3
0	0
0	3394
53	4074
77	796
4	2877
2	258
0	405
0	3940
0	1048
1	2
153	126
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	7
0	3
0	0
0	0
0	53
0	104
8	1264
0	59
0	38
0	523
0	1143
5	185
0	526
13	37
0	186
0	25
1	70
0	188
4	40
0	180
19	0
1	0
0	0
0	0
0	96
0	1
0	176
0	249
0	249
0	242
0	2
0	8
0	192
0	170
0	24
0	242
0	17
0	17
0	42
0	28
0	0
0	266
0	5106
0	0
0	0
0	0
0	1
288	1638
0	251
0	41
0	1122
0	449
5	166
4	1545
1	1543
0	365
19	6
0	546
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	89
0	95
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	2
0	32
0	0
0	0
0	0
0	83
0	2822
0	3
0	0
0	0
0	425
0	0
0	0
0	0
0	427
0	0
0	6
0	0
2	0
811	168
0	13
0	13
0	0
0	1
0	11
35	13
0	13
1	5
0	12
0	11
0	7633
0	0
0	0
75	61
0	61
0	11
0	16
0	15
2649	0
1	48
0	2
0	2
0	1
0	47
0	1
0	0
3	1461
0	1440
0	1487
0	22
0	1119
1	1266
0	1453
0	59
0	183
0	1211
5	183
7	221
0	58
0	0
0	0
0	12
0	0
0	0
0	0
0	12
1	142
11	126
0	109
0	125
10	111
0	0
2	10
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	1472
0	939
8	1043
0	688
19	930
3	531
2	204
6	0
0	19
46	341
3	29
0	29
0	64
0	23
1	70
1	72
0	29
0	64
0	29
0	28
0	301
0	26
9	4
0	33
0	25
0	32
0	15
0	31
0	31
0	101
3	14
1	23
0	15
0	38
0	0
943	2204
0	219
0	250
1	249
1	62
0	1425
0	116
0	244
0	0
1	0
0	0
0	0
3	46
0	0
0	5
0	1333
0	0
0	14
0	0
0	0
0	618
0	0
0	1
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	79
0	0
0	10
0	0
