UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	23
0	0
1	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
1	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	782
0	3
0	0
0	0
0	55
0	494
1	78
0	0
0	0
0	736
0	346
15	590
3	198
0	399
6	213
0	292
0	99
6	0
3	550
1119	957
0	543
0	339
0	282
1	747
0	504
10	278
0	862
74	5133
13	5030
0	11
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	0
0	3386
45	4023
39	747
8	2886
1	232
0	403
0	3882
0	1072
0	0
169	197
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	6
0	0
0	0
0	68
0	120
17	1534
1	39
0	30
0	620
0	1402
0	236
0	691
25	57
0	190
0	33
0	69
0	213
16	56
0	237
19	1
0	1
0	0
0	0
0	58
0	1
55	203
0	659
2	656
1	650
0	18
1	26
0	516
0	466
0	90
0	649
0	71
0	39
0	108
0	61
0	0
0	164
0	4287
0	0
0	0
0	0
0	0
284	1571
0	216
0	37
0	1114
0	425
2	131
4	1477
1	1477
1	246
11	7
0	325
0	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
1	5
0	0
0	89
0	58
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	24
0	0
0	0
0	0
0	15
0	2395
0	6
0	0
0	0
0	699
0	0
0	0
0	0
0	248
0	0
0	12
0	0
0	0
627	117
0	138
1	137
0	26
0	39
0	113
23	2
1	2
0	2
0	3
0	2
0	5711
0	0
0	0
8	13
0	13
0	5
0	4
0	2
5036	0
2	41
0	3
0	1
0	1
0	38
0	0
0	0
3	2244
1	2233
0	2278
2	26
0	1769
3	1978
0	2242
0	108
1	296
0	1921
14	273
6	370
0	15
0	0
0	0
0	15
0	2
0	2
0	0
0	13
5	242
7	221
0	189
0	210
5	197
0	0
2	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
39	2373
0	1518
6	1689
0	1122
27	1498
0	853
3	318
1	1
0	11
31	277
1	22
0	22
0	80
0	16
0	78
1	71
0	20
0	78
0	20
0	20
0	230
0	36
5	4
0	19
0	17
0	23
0	13
0	21
0	28
0	65
0	9
0	21
0	6
0	37
0	0
1707	3906
0	340
0	439
3	471
0	111
0	2547
0	197
0	387
0	0
0	0
0	0
0	0
11	65
0	0
0	21
1	1835
0	0
0	15
0	0
0	0
1	381
0	0
0	1
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	147
0	0
0	20
