#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
,MAR03905,,ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c],1.1.1.1;1.1.1.71,Adh1 or Adh4 or Adh5 or Adh6b or Adh7 or Adhfe1 or Zadh2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:10868354;PMID:12491384;PMID:12818203;PMID:14674758;PMID:15289102;PMID:15299346;PMID:15327949;PMID:15682493;PMID:15713978,0
,MAR03907,,ethanol[c] + NADP+[c] => acetaldehyde[c] + H+[c] + NADPH[c],1.1.1.2,Akr1a1,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR04099,,acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m],6.2.1.1,Acss1 or Acss3,,,,,,Glycolysis / Gluconeogenesis,,,PMID:10843999;PMID:11150295;PMID:2884217;PMID:4737256;PMID:5995,0
,MAR04137,,CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + NADH[m],1.2.4.1;2.3.1.12;1.8.1.4;1.2.1.51,(Pdha1 or Pdha2) and Dlat and Dld and Pdhb and Pdhx,,,,,,Glycolysis / Gluconeogenesis,,,PMID:11079566;PMID:2643922;PMID:8548923;PMID:2249846,0
,MAR04281,,H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p],1.1.1.27,Ldha or Ldhal6b or Ldhb or Ldhc or Uevld,,,,,,Glycolysis / Gluconeogenesis,,,PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705,0
,MAR04388,,H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c],1.1.1.27,Ldha or Ldhal6b or Ldhb or Ldhc or Uevld,,,,,,Glycolysis / Gluconeogenesis,,,PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705,0
,MAR04283,,acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c],1.2.1.5,Aldh1a3 or Aldh3a1 or Aldh3b1 or Aldh3b2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:16411662;PMID:2060039;PMID:7779080;PMID:8155713;PMID:8605195;PMID:9228057,0
,MAR08357,,acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m],1.2.1.3,Aldh1b1 or Aldh2 or Aldh3a2 or Aldh7a1 or Aldh9a1,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR04379,,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]",2.7.1.11,Pfkl or Pfkm or Pfkp,,,,,,Glycolysis / Gluconeogenesis,,,PMID:12049998;PMID:5667967,0
,MAR04301,,"fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]",2.7.1.11,Cfap410 or Pfkl or Pfkm or Pfkp,,,,,,Glycolysis / Gluconeogenesis,,,PMID:11945275;PMID:4276999,0
,MAR04355,,"DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]",4.1.2.13,Aldoa or Aldob or Aldoc,,,,,,Glycolysis / Gluconeogenesis,,,PMID:10214945;PMID:2198022;PMID:4052378;PMID:4084320;PMID:6952783,0
,MAR04358,,ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c],2.7.1.40,Hcn3 or Pklr or Pkm or Tmem54,,,,,,Glycolysis / Gluconeogenesis,,,PMID:1009117;PMID:7154942,0
,MAR04360,,H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c],1.2.1.49,Zadh2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:20958;PMID:4383524;PMID:4391087;PMID:6014;PMID:7107625;PMID:7107626;PMID:7144586;PMID:7763257;PMID:7993370,0
,MAR04363,,2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c],4.2.1.11,Eno1b or Eno2 or Eno3,,,,,,Glycolysis / Gluconeogenesis,,,PMID:3536714;PMID:7357031,0
,MAR04365,,2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c],5.4.2.11,Bpgm or Pgam1 or Pgam2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:2840859;PMID:6322090;PMID:9688259,0
,MAR04368,,"1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]",2.7.2.3,Crisp1 or Mia3 or Pgk1 or Pgk2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:367367;PMID:4203909,0
,MAR04370,,"1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c]",3.6.1.7,Acyp1 or Acyp2,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR04371,,"1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c] + H+[c]",5.4.2.1;5.4.2.4,Bpgm or Pgam1 or Pgam2,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR04372,,"2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]",3.1.3.13,Bpgm,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR04373,,"1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c]",1.2.1.12,Gapdh-ps15 or Gapdhs,,,,,,Glycolysis / Gluconeogenesis,,,PMID:12027953;PMID:14993695;PMID:3370218;PMID:7144574,0
,MAR04375,,"DHAP[c] + GAP[c] <=> fructose-1,6-bisphosphate[c]",4.1.2.13,Aldoa or Aldob or Aldoc,,,,,,Glycolysis / Gluconeogenesis,,,PMID:10641038;PMID:10797566;PMID:12417303;PMID:12676688;PMID:1392515;PMID:2752067,0
,MAR04381,,fructose-6-phosphate[c] <=> glucose-6-phosphate[c],5.3.1.9,Gpi1,,,,,,Glycolysis / Gluconeogenesis,,,PMID:2272676;PMID:2843500,0
,MAR04391,,DHAP[c] <=> GAP[c],5.3.1.1,Tpi1,,,,,,Glycolysis / Gluconeogenesis,,,PMID:1168838;PMID:15262334;PMID:15522269;PMID:1959537;PMID:2339591,0
,MAR04394,,ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c] + H+[c],2.7.1.1;2.7.1.2;2.7.1.147,Adpgk or Gck or Hk1 or Hk2 or Hk3 or Hkdc1,,,,,,Glycolysis / Gluconeogenesis,,,PMID:16906315;PMID:7061426;PMID:7150652;PMID:8717435,0
