ReactionID,Compartment,MinFlux,MaxFlux
MAR03905,Glycolysis / Gluconeogenesis,0,0.01
MAR03907,Glycolysis / Gluconeogenesis,0,0.01
MAR04099,Glycolysis / Gluconeogenesis,0,0.402583266518263
MAR04137,Glycolysis / Gluconeogenesis,0,1.78933862359429
MAR04281,Glycolysis / Gluconeogenesis,0,0.0187423129784762
MAR04388,Glycolysis / Gluconeogenesis,-1000,0.243842607937081
MAR04283,Glycolysis / Gluconeogenesis,0,0.659840102867406
MAR08357,Glycolysis / Gluconeogenesis,0,0.659840102864354
MAR04379,Glycolysis / Gluconeogenesis,0,1000
MAR04301,Glycolysis / Gluconeogenesis,0,1000
MAR04355,Glycolysis / Gluconeogenesis,0,999.994616494179
MAR04358,Glycolysis / Gluconeogenesis,0,1000
MAR04360,Glycolysis / Gluconeogenesis,0,0.399968309380104
MAR04363,Glycolysis / Gluconeogenesis,0.026335820499682,1.8847972075863
MAR04365,Glycolysis / Gluconeogenesis,-1.88482305107641,-0.0263536270692839
MAR04368,Glycolysis / Gluconeogenesis,0.0263531221644599,1.88479684046842
MAR04370,Glycolysis / Gluconeogenesis,0,0.799936824637157
MAR04371,Glycolysis / Gluconeogenesis,0,0.799936824641547
MAR04372,Glycolysis / Gluconeogenesis,0,0.799936824641547
MAR04373,Glycolysis / Gluconeogenesis,-1.88479686679288,-0.0263534259765379
MAR04375,Glycolysis / Gluconeogenesis,-1000,-0.0050492230262762
MAR04381,Glycolysis / Gluconeogenesis,-1000,1000
MAR04391,Glycolysis / Gluconeogenesis,0.00658366951040534,0.942345779522835
MAR04394,Glycolysis / Gluconeogenesis,0,0.938019438096317
MAR04396,Glycolysis / Gluconeogenesis,-0.399999159477766,-3.042e-05
MAR04521,Glycolysis / Gluconeogenesis,0,0.000468741597072
MAR06410,Glycolysis / Gluconeogenesis,0,1.78933972960147
MAR06412,Glycolysis / Gluconeogenesis,0,1.7893397296158
MAR07745,Glycolysis / Gluconeogenesis,-0.93801963628346,0
MAR07746,Glycolysis / Gluconeogenesis,0,0.938019435148808
MAR07747,Glycolysis / Gluconeogenesis,0,0.938019435139281
MAR07748,Glycolysis / Gluconeogenesis,-1000,1000
MAR07749,Glycolysis / Gluconeogenesis,-1000,1000
MAR08360,Glycolysis / Gluconeogenesis,0,0
MAR03989,Starch and sucrose metabolism,0,0
MAR04122,Starch and sucrose metabolism,7.02e-06,0.010274872341184
MAR04837,Starch and sucrose metabolism,0,0
MAR05395,Starch and sucrose metabolism,0,0.0666613876892654
MAR05396,Starch and sucrose metabolism,0,0.0666613876890524
MAR09727,Starch and sucrose metabolism,2.34e-05,2.63e-05
MAR05397,Starch and sucrose metabolism,0,0.0666613848957809
MAR05398,Starch and sucrose metabolism,0,0.0666613848964878
MAR05399,Starch and sucrose metabolism,0,0.0666613848964878
MAR05400,Starch and sucrose metabolism,0,0.0666613848964878
MAR05401,Starch and sucrose metabolism,0,0.0666613848964878
MAR08578,Starch and sucrose metabolism,0,0
MAR08592,Starch and sucrose metabolism,0,0
MAR08589,Starch and sucrose metabolism,0,0
MAR03944,Galactose metabolism,0,0.733307784745988
MAR04130,Galactose metabolism,0,0.399969471685199
MAR04131,Galactose metabolism,-0.399968799801543,0.733307784755715
MAR04132,Galactose metabolism,0,0.399969471685199
MAR04303,Galactose metabolism,0,0
MAR04414,Galactose metabolism,0,0.399969471685199
MAR04415,Galactose metabolism,0,0.01
MAR04416,Galactose metabolism,0,0
MAR04774,Galactose metabolism,-1000,1000
MAR04775,Galactose metabolism,-1000,1000
MAR04832,Galactose metabolism,0,0
MAR08761,Galactose metabolism,0,0
MAR08762,Galactose metabolism,0,0
MAR08766,Galactose metabolism,0,0
MAR08767,Galactose metabolism,0,0.733308179779315
MAR04297,Fructose and mannose metabolism,0,0.79993937430454
MAR04315,Fructose and mannose metabolism,0,1.17042409037703
MAR04316,Fructose and mannose metabolism,-1.50922423727187,0
MAR04319,Fructose and mannose metabolism,0,0.938019543099472
MAR04385,Fructose and mannose metabolism,0,0
MAR04386,Fructose and mannose metabolism,0,0
MAR04387,Fructose and mannose metabolism,0,0
MAR04399,Fructose and mannose metabolism,0,0
MAR04400,Fructose and mannose metabolism,0,0
MAR04401,Fructose and mannose metabolism,0,0
MAR04402,Fructose and mannose metabolism,0,0
MAR04490,Fructose and mannose metabolism,0,0
MAR04706,Fructose and mannose metabolism,0,0.799937297294614
MAR08768,Fructose and mannose metabolism,0,0
MAR04590,Pentose and glucuronate interconversions,0,1000
MAR04591,Pentose and glucuronate interconversions,0,1000
MAR04592,Pentose and glucuronate interconversions,0,0
MAR04593,Pentose and glucuronate interconversions,0,0.00999999999999091
MAR08341,Pentose and glucuronate interconversions,0,0.01
MAR08342,Pentose and glucuronate interconversions,-0.01,0
MAR08344,Pentose and glucuronate interconversions,0,0
MAR08352,Pentose and glucuronate interconversions,0,0
MAR08726,Pentose and glucuronate interconversions,0,0
MAR08727,Pentose and glucuronate interconversions,0,0
MAR08729,Pentose and glucuronate interconversions,0,2.63e-06
MAR06537,Pentose and glucuronate interconversions,0,0
MAR01568,Pyruvate metabolism,0,0.659852699936645
MAR03853,Pyruvate metabolism,0,0.399976283298671
MAR03854,Pyruvate metabolism,0,0.399976283295403
MAR03855,Pyruvate metabolism,0,1000
MAR03857,Pyruvate metabolism,0,0.0139843516883998
MAR03859,Pyruvate metabolism,0,0.0139843516889178
MAR04087,Pyruvate metabolism,0,0.804704850658616
MAR04091,Pyruvate metabolism,0,0.804704850646878
