ReactionID,minFlux,maxFlux
MAR03905,0,0
MAR03907,0,1.01
MAR04099,0,0.750998596
MAR04137,0,0.5
MAR04281,0,1.527068122
MAR04388,-16.15040904,0
MAR04283,0,2.842608063
MAR08357,0,2.842608063
MAR04379,0,0.5
MAR04301,0,2.148720613
MAR04355,0,0
MAR04358,0,0.5
MAR04360,0,0
MAR04363,0,0.5
MAR04365,-3.886148503,0
MAR04368,0,0.5
MAR04370,0,3.292123932
MAR04371,0,0
MAR04372,0,0
MAR04373,-3.792123932,0
MAR04375,-2.148720613,6.78E-17
MAR04381,-2.086089361,2.188189541
MAR04391,0,0.5
MAR04394,0,2.184496472
MAR04396,-0.959200004,1.308674267
MAR04521,0,0
MAR06410,0,2.212255165
MAR06412,0,2.212255165
MAR07745,0,0
MAR07746,0,0
MAR07747,0,0
MAR07748,-2.086089361,0
MAR07749,0,2.086089361
MAR08360,0,0.264552069
MAR03989,0,1
MAR04122,0,0.867421814
MAR04837,0,0
MAR05395,0,0
MAR05396,0,0
MAR09727,0.001601825,0.001779806
MAR05397,0,0
MAR05398,0,0
MAR05399,0,0
MAR05400,0,0
MAR05401,0,0
MAR08578,0,0
MAR08592,0,0
MAR08589,0,0
MAR03944,0,1.036188797
MAR04130,0,1.44662056
MAR04131,-1.308629216,0
MAR04132,0,1.44662056
MAR04303,0,0
MAR04414,0,1.44662056
MAR04415,0,0.01
MAR04416,0,0
MAR04774,0,0
MAR04775,0,0
MAR04832,0,0
MAR08761,0,0
MAR08762,0,0
MAR08766,0,0
MAR08767,0,0.868639774
MAR04297,0,0
MAR04315,0,3.17878201
MAR04316,-3.17878201,3.82E-17
MAR04319,0,2.184496472
MAR04385,-6.23E-16,0.918290707
MAR04386,-2.17E-17,0.918290707
MAR04387,0,0
MAR04399,0,0.843719802
MAR04400,0,0.843719802
MAR04401,-0.038956403,0
MAR04402,0,0.038956403
MAR04490,0,0.328529307
MAR04706,0,0
MAR08768,0,0
MAR04590,0,0
MAR04591,0,0
MAR04592,-1.01,1.078521255
MAR04593,0,0.659743248
MAR08341,0,1.01
MAR08342,-1.01,0
MAR08344,0,0
MAR08352,0,0
MAR08726,0,0
MAR08727,0,0
MAR08729,0,0.517477975
MAR06537,0,0
MAR01568,0,0
MAR03853,0,0
MAR03854,0,1.638763751
MAR03855,0,0
MAR03857,0,0
MAR03859,0,0.562375498
MAR04087,0,0
MAR04091,0,0
MAR04103,0,1.605954674
MAR04193,0,4.134275035
MAR08497,0,0
MAR08500,0,0
MAR08502,0,0
MAR08503,0,0
MAR08504,0,0
MAR08506,0,1.638763751
MAR08507,0,0
MAR08508,0,0
MAR08509,0,0
MAR08511,0,0
MAR08514,0,0
MAR08516,0,1.638763751
MAR04280,-1.523559202,14.7614625
MAR00153,0,0
MAR03212,0,0
MAR03797,0,0
MAR03800,0,1
MAR04105,0,0
MAR04106,0,0
MAR04107,0,0.667722077
MAR04282,0,0.422791563
MAR04331,0,0
MAR04459,0,0
MAR04460,0,0
MAR04497,0,0.422791563
MAR04741,0,0.422791563
MAR09804,0,0
MAR01434,-0.65712421,0
MAR01436,0,0
MAR03163,0,0
MAR04604,3.62E-19,0.736621099
MAR05351,3.82E-18,1
MAR04052,0,0.760713987
MAR04304,0,0.619651983
MAR04306,0,0
MAR04350,0,0
MAR04351,-0.440226934,0
MAR04352,-1.270795919,1.479890121
MAR04354,-1.689783976,1.878165841
MAR04398,-1.072827567,2.204334805
MAR04404,-0.561479505,0.994724092
MAR04473,0,0.440862464
MAR04474,0,0
MAR04476,0,0
MAR04477,-1.989448185,1.122959009
MAR04501,-0.561479505,0.994724092
MAR04565,-0.561479505,0.994724092
MAR04567,0,0
MAR04568,0,0
MAR04623,0,0.620132531
MAR04625,0,2.264226896
MAR04710,-1.072827567,2.204334805
MAR04841,0,0
MAR08074,0,0.883562392
MAR08653,-0.182099663,0.501605928
MAR03998,0,0
MAR04000,0,0
MAR04002,-1.470767493,1000
MAR04004,-1000,0
MAR04010,0,0.883562392
MAR04081,0,0.749688431
MAR04082,0,0
MAR04012,0,1.207152631
MAR04014,0,0
MAR04020,-18.82138425,-0.002146445
MAR04022,0,0
MAR04038,0,0.327693199
MAR04040,0,0
MAR04042,0,1.046144043
MAR04046,0,0
MAR04048,0,0
MAR04080,0,0.602503055
MAR04085,-1.204334805,1.429289811
MAR04086,0,0.28743129
MAR04134,0,0.589041595
MAR04135,2.14E-15,1.292580862
MAR04168,0,0
MAR04171,0,4.134275035
MAR04290,0,1.01
MAR04406,0,0.327693199
MAR04412,-1.046144043,0
MAR04417,0,0.883562392
MAR04418,0,2.031603809
MAR04419,0,1.456168123
MAR04421,0,4.134275035
MAR04449,0,0
MAR04450,0,0.422447701
MAR04451,-1.57E-15,18.81859708
MAR04452,-19.81777226,0
MAR04453,0,0
MAR04480,-1.802474623,1.204334805
MAR04481,0,0.596781034
MAR04482,0,0.45136544
MAR04486,0,0
MAR04487,0,2.184496472
MAR04488,0,0
MAR04489,0,2.184496472
MAR04492,0,0
MAR04493,0,0.328529307
MAR04495,0,0
MAR04496,0,1.01
MAR04518,0,1.118116303
MAR04519,0,0.733678116
MAR04520,0,0
MAR04573,0,4.134275035
MAR04574,-1.584151769,0
MAR04600,0,1.802474623
MAR04602,0,1.204334805
MAR04603,-2.204334805,1.214368543
MAR04611,0,18.52896808
MAR04612,0,18.52896808
MAR04614,0,1.682395212
MAR04615,0,1.745132482
MAR04617,0,1.120313185
MAR04618,0,1.203642476
MAR04619,0,1.120313185
MAR04621,0,1.204443389
MAR04632,0,0
MAR04646,0,0.827549186
MAR04648,0,0
MAR04649,0,0
MAR04650,0,0
MAR04651,-1.231267429,18.7551194
MAR04663,0,0
MAR04664,0,0
MAR04694,0,0.602503055
MAR04695,-1.204334805,1.802474623
MAR04705,0,0
MAR04709,-0.602503055,1.761565393
MAR04799,0,0.327693199
MAR04802,0,0.327693199
MAR04804,-0.327693199,-2.55E-16
MAR04808,0,0.327693199
MAR04810,0,0.327693199
MAR04812,-0.327693199,0
MAR04814,0,0.327693199
MAR05301,0,1.203215323
MAR05353,-1.802474623,1.204334805
MAR06602,0,0
MAR06603,0,0.827549186
MAR07144,0,0.890038751
MAR08755,0,0
MAR04016,0,0
MAR04018,-1000,0
MAR04044,0,0
MAR04291,0,0
MAR04420,0,0
MAR04570,0,0
MAR04572,0,0
MAR04006,0,1000
MAR04028,0,0
MAR04030,-1000,-0.00320365
MAR04670,-1000,1.369094949
MAR04673,0,0
MAR04675,0,0
MAR06614,-1000,0
MAR06615,0,0
MAR06616,0,0
MAR04635,-1000,4.13331394
MAR03931,0,18.59615829
MAR03970,0,0
MAR04008,-1000,0
MAR04032,0,0.251050329
MAR04034,0.001249423,0.356241529
MAR04036,0.001249423,0.356241529
MAR04050,-0.356241529,-0.001249423
MAR04056,0,0.329009846
MAR04059,0,0.199743827
MAR04060,0,0
MAR04127,0,0
MAR04177,0,0
MAR04179,0,0.01
MAR04182,0,1.369879844
MAR04183,0,0.375266591
MAR04192,0,0.514477456
MAR04194,0,0.18889958
MAR04210,0,4.134275035
MAR04211,0,0.358879722
MAR04343,0,1.204334805
MAR04346,0,0.233993561
MAR04484,0,0
MAR04485,0,0
MAR04510,0,1.155497804
MAR04512,0,1000
MAR04577,-0.356241529,-0.001249423
MAR04579,-1.202681381,0
MAR04608,-0.356241529,-0.001249423
MAR04575,0.001249423,0.356241529
MAR04637,-1.208754456,1.856692089
MAR04642,0,1.204334805
MAR04643,0,0
MAR04644,0.000961095,0.3559532
MAR04676,0,0.721406477
MAR05299,0,0
MAR05352,0,1.202414411
MAR06612,-1.831540144,0
MAR06621,0,0
MAR06622,0,0
MAR06624,0,0
MAR06627,0,4.062658103
MAR08072,0,0
MAR03966,0,0
MAR03967,-1.571399936,0
MAR03968,0.000961095,1.2052959
MAR03999,0,1
MAR04024,-1000,0
MAR04026,-1.161534934,7.11E-19
MAR04061,0,0
MAR04083,0,1.728639888
MAR04136,0,1
MAR04180,0,1.369879844
MAR04185,-3.10E-32,0
MAR04186,0,0
MAR04342,0,0.589041595
MAR04344,-0.233993561,0
MAR04483,0,0
MAR04516,0,0
MAR04601,0,1.802474623
MAR04633,0,1.802474623
MAR04640,0,0
MAR04680,-1.204334805,0.271889252
MAR04806,0,0.327693199
MAR06625,0,0
MAR06626,0,0
MAR07160,0.00320365,0.003559611
MAR07161,0,0
MAR07162,0.001601825,0.001779806
MAR07163,0,0
MAR07164,0,0
MAR07713,0,0
MAR07716,0,0
MAR07717,0,0
MAR07721,0,0
MAR07725,0,0
MAR07728,0,0
MAR07801,-1000,0
MAR07863,-1.260137823,0
MAR07864,0,1000
MAR07865,-1.260137823,0
MAR07866,0,0
MAR07867,-1.260137823,0
MAR07868,0,1000
MAR07869,-1000,0
MAR07870,0,0
MAR07871,-1000,0
MAR07872,0,0
MAR07873,-1000,0
MAR07874,0,0
MAR07875,0,0
MAR07876,-1000,0
MAR07878,0,0
MAR07879,0,0.519011479
MAR07880,0,0.519011479
MAR07881,0,0
MAR07882,-1000,0
MAR07883,0,0
MAR07884,-1000,0
MAR07885,-1000,0
MAR07886,0,0
MAR07887,0,0
MAR07888,-1000,0
MAR07889,0,0
MAR07890,0,0
MAR07891,-1000,0
MAR07892,0,0
MAR07893,0,0
MAR08083,0,0
MAR08085,0,0
MAR08087,0,0
MAR08443,0,0
MAR08444,0,0
MAR08445,0,1.369879844
MAR08448,-1000,0
MAR08449,0,0
MAR08450,0,1000
MAR08451,-1000,0
MAR08452,0,1000
MAR08453,-1000,1000
MAR08454,0,1000
MAR08455,-1000,0
MAR08456,0,1000
MAR08457,-1000,0
MAR08458,0,0
MAR08459,-1000,0
MAR08460,0,0
MAR08462,-1000,0
MAR08463,0,1000
MAR08464,-1000,0
MAR08465,-1.571399936,0
MAR08466,-1000,0
MAR08467,-1000,0
MAR08468,-1000,0
MAR08469,-1000,0
MAR08470,0,0
MAR08471,-1000,0
MAR08472,-1000,0
MAR08473,0,0.562064193
MAR08474,0,0.291536982
MAR08482,0,0
MAR08485,0,1.221305123
MAR08486,-1.265118278,0.816317114
MAR08487,0,0.358879722
MAR08488,0,0
MAR08489,0,1.01
MAR03802,-1000,3.569170152
MAR03804,0,1000
MAR03811,0,0.465768409
MAR03813,-0.465768409,0
MAR03827,0,0
MAR03831,0,1.146672377
MAR03865,0,0
MAR03870,0,0
MAR03890,0,0.813267639
MAR03892,0,0.005587746
MAR03899,-3.518495071,0.558378104
MAR04109,-1.119471335,0.001861281
MAR04114,0,1.111954935
MAR04115,0,0.005587746
MAR04118,0,0
MAR04196,0,1.111954935
MAR04197,0,0.005587746
MAR04287,0,0.01
MAR04693,1.60E-16,0.01
MAR06780,0,0.007450328
MAR06970,0,0
MAR07642,-3.964699352,0.01
MAR03807,-1.873255963,-0.336144153
MAR03819,-1.951174631,0
MAR03833,0,0
MAR03835,0,1.951174631
MAR03837,0,0
MAR03956,0,2.291321423
MAR04073,1,1.144212859
MAR04075,0.5,0.643777978
MAR04077,0.5,0.596178675
MAR04212,0.5,1.681958613
MAR04422,0,1.181958613
MAR04583,-0.00362836,0.01
MAR04607,0,0
MAR04776,0,0.119491333
MAR04777,0,0.116209424
MAR04778,0,0
MAR04779,0,1.116229422
MAR04780,0,0.119491333
MAR04781,0,0
MAR04785,0,1.119471335
MAR04786,-1.22E-16,1.119471335
MAR05384,0,0.159086395
MAR06938,-0.143777978,0
MAR06965,0,0
MAR06966,0,0
MAR08098,0,0
MAR08427,0,0
MAR08603,0,0.249998982
MAR08604,0,0.249998982
MAR08605,0,0.249998982
MAR08606,0,0.226017583
MAR08609,0,0
MAR08611,0,0
MAR03752,0,1000
MAR03770,-0.24374135,0
MAR03784,-1000,0
MAR03839,0,1.02265558
MAR03841,0,1.02265558
MAR03843,0,1.02265558
MAR03883,0,0.940386429
MAR03939,0,0
MAR03974,0,0
MAR04198,0,0.596703722
MAR04200,0,0
MAR04582,-0.01,0.00362836
MAR04584,0,0.013561911
MAR04696,0,0.687584134
MAR04697,0,0
MAR04698,0,0.687584134
MAR04742,0.227533197,2.825939692
MAR04792,-1.825939692,4.51E-20
MAR05392,0,0
MAR05393,0,0
MAR06409,-2.212255165,0
MAR07702,-0.659743248,0
MAR08433,0,0
MAR08434,0,0
MAR08435,0,0
MAR08436,0,0
MAR08437,0,0
MAR08440,0,0.108697215
MAR08441,0,0.108697215
MAR04428,0,0.051553064
MAR04429,0,0.049413687
MAR04430,0,0.049413687
MAR04431,0,0.049413687
MAR05338,0,1.085981994
MAR05339,0,1.085981994
MAR08783,0,0.050041437
MAR08784,0,0.050041437
MAR04239,0,0.239100278
MAR04288,0,0.239100278
MAR04597,-0.239100278,0
MAR04599,0,0
MAR04668,0,0.239100278
MAR04737,0,0
MAR04739,0,0.239100278
MAR06415,0,0
MAR06974,0,0.170274038
MAR06975,0,0.170274038
MAR06976,0,0.170274038
MAR06977,4.10E-19,0.170274038
MAR06978,0,0.170274038
MAR06979,0,0.04663361
MAR06980,0,0.04663361
MAR06981,0,0.04663361
MAR06982,0,0.04663361
MAR08025,0,0.034703391
MAR08026,0,0.034703391
MAR08027,0,0.034703391
MAR03164,0,0.239100278
MAR03166,0,0.239100278
MAR03885,0,0.466241274
MAR08091,0,0
MAR08092,0,0
MAR08563,0,0.035134619
MAR03935,0,0
MAR04681,0,0.107200164
MAR04682,0,0.107200164
MAR04683,0,0
MAR04685,0,1000
MAR04686,-0.107200164,0
MAR04687,0,1000
MAR08530,0,0
MAR08542,0,0.109507261
MAR03206,0,0.179917812
MAR03208,0,0.839262577
MAR03211,0,0.422791563
MAR03213,0,0.839262577
MAR03215,0,0.839262577
MAR03744,0,0.011175493
MAR03757,0,0.018077252
MAR03761,0,0
MAR03778,0,0.179917812
MAR03795,0,0.214672991
MAR04797,0,0
MAR06417,0,0
MAR06419,0,0
MAR06420,0,0
MAR06421,0,0
MAR06422,0,0
MAR03765,0,0.324093906
MAR08787,0,0
MAR04242,0,0.239100278
MAR04243,0,0
MAR06707,0,0.035134619
MAR06713,0,0.035134619
MAR06714,0,0
MAR06716,0,0
MAR06717,0,0
MAR06718,0,0
MAR06719,0,0
MAR06725,0,2.9151671
MAR06730,0,0
MAR06731,0,0.452933388
MAR06734,0,0
MAR06736,0,0
MAR06741,0,0.12707868
MAR06743,0,0.12707868
MAR06745,0,0.008398175
MAR06746,0,0
MAR06747,0,0
MAR06748,0,0
MAR06749,0,0
MAR06750,0,0
MAR06751,0,0
MAR06752,0,0.099806073
MAR06753,0,0
MAR06754,0,0.099806073
MAR06755,0,0
MAR06756,0,0
MAR06758,0,0.269029044
MAR06760,0,0
MAR06761,0,0.249998982
MAR06762,0,0.169987572
MAR06763,0,0.169987572
MAR06764,0,0.169987572
MAR06766,0,0
MAR06767,0,0.169987572
MAR06768,0,0.070587848
MAR06789,0,0.097064989
MAR06790,0,0
MAR06791,0,0.097064989
MAR06808,0,0.219014522
MAR06811,-0.219014522,0
MAR06813,0,0.052781985
MAR06817,0,0
MAR06826,0,0
MAR06829,0,0
MAR06831,0,0
MAR06834,0,0
MAR06841,0,0
MAR06849,0,0
MAR06854,0,0
MAR06883,-0.219014522,0
MAR03875,0,0.502423938
MAR03877,0,0.502423938
MAR03912,0,1.274531382
MAR03917,0,0.502423938
MAR03920,0,0
MAR03928,0,0
MAR03995,0,1.020610737
MAR04189,0,0
MAR05381,0,0.321158034
MAR05385,0,0.159086395
MAR05386,0,0.159086395
MAR05387,0,0.159086395
