ReactionID,minFlux,maxFlux
MAR03905,0,0
MAR03907,0,1.01
MAR04099,0,0.755057665
MAR04137,0,0.5
MAR04281,0,1.529398168
MAR04388,-16.22480262,0
MAR04283,0,2.851608932
MAR08357,0,2.851608932
MAR04379,0,0.5
MAR04301,0,2.051229753
MAR04355,0,0
MAR04358,0,0.5
MAR04360,0,0
MAR04363,0,0.5
MAR04365,-3.894900218,0
MAR04368,0,0.5
MAR04370,0,3.300106696
MAR04371,0,0
MAR04372,0,0
MAR04373,-3.800106696,0
MAR04375,-2.156749125,2.52E-16
MAR04381,-2.094641706,0
MAR04391,0,0.5
MAR04394,0,2.191983761
MAR04396,-0.962592436,1.312854489
MAR04521,0,0.272238679
MAR06410,0,2.225374601
MAR06412,0,2.225374601
MAR07745,-2.191983761,0
MAR07746,0,2.191983761
MAR07747,0,0
MAR07748,-2.094641706,0
MAR07749,0,1.950852316
MAR08360,0,0.265906577
MAR03989,0,1
MAR04122,0,0.872228433
MAR04837,0,0
MAR05395,0,0
MAR05396,0,0
MAR09727,0.001610107,0.001789008
MAR05397,0,0
MAR05398,0,0
MAR05399,0,0
MAR05400,0,0
MAR05401,0,0
MAR08578,0,0
MAR08592,0,0
MAR08589,0,0
MAR03944,0.001610107,1.040904788
MAR04130,0,1.452263886
MAR04131,-1.312809205,0
MAR04132,0,1.452263886
MAR04303,0,0
MAR04414,0,1.452263886
MAR04415,0,0.01
MAR04416,0,0
MAR04774,0,0
MAR04775,0,0
MAR04832,0,0
MAR08761,0,0
MAR08762,0,0
MAR08766,0,0
MAR08767,0.001610107,0.873709183
MAR04297,0,0
MAR04315,-5.54E-16,3.181494244
MAR04316,-3.181494244,-1.73E-15
MAR04319,0,2.191983761
MAR04385,3.01E-17,0.922441863
MAR04386,-1.59E-18,0.922441863
MAR04387,0,0
MAR04399,0,0.848071953
MAR04400,0,0.848071953
MAR04401,-0.039153435,0
MAR04402,0,0.039153435
MAR04490,0,0.330119762
MAR04706,0,0
MAR08768,0,0
MAR04590,0,0
MAR04591,0,0
MAR04592,-1.01,1.078914038
MAR04593,0,0.663332786
MAR08341,0,1.01
MAR08342,-1.01,0
MAR08344,0,0
MAR08352,0,0
MAR08726,0,0
MAR08727,0,0
MAR08729,0,0.520093473
MAR06537,0,0
MAR01568,0,0
MAR03853,0,0
MAR03854,0,1.646739199
MAR03855,0,0
MAR03857,0,0
MAR03859,0,0.565313722
MAR04087,0,0
MAR04091,0,0
MAR04103,0,1.610545346
MAR04193,0,4.143526937
MAR08497,0,0
MAR08500,0,0
MAR08502,0,0
MAR08503,0,0
MAR08504,0,0
MAR08506,0,1.646739199
MAR08507,0,0
MAR08508,0,0
MAR08509,0,0
MAR08511,0,0
MAR08514,0,0
MAR08516,0,1.65233954
MAR04280,-1.547168366,14.82597877
MAR00153,0,0
MAR03212,0,0
MAR03797,0,0
MAR03800,0,1
MAR04105,0,0
MAR04106,0,0
MAR04107,0,0.670296744
MAR04282,0,0
MAR04331,0,0
MAR04459,0,0
MAR04460,0,0
MAR04497,0,0
MAR04741,0,0
MAR09804,0,0
MAR01434,-0.659508862,0
MAR01436,0,0
MAR03163,0,0
MAR04604,4.64E-17,0.739714542
MAR05351,4.00E-18,1
MAR04052,0,0.764563077
MAR04304,0,0.622508998
MAR04306,0,0
MAR04350,0,0
MAR04351,-0.443500583,0
MAR04352,-1.269424343,1.483124091
MAR04354,-1.697378445,1.8835698
MAR04398,-1.074102987,2.210777236
MAR04404,-0.563998041,0.998071465
MAR04473,0,0.442861247
MAR04474,0,0
MAR04476,0,0
MAR04477,-1.996142931,0
MAR04501,-0.563998041,0.998071465
MAR04565,-0.563998041,0.998071465
MAR04567,0,0
MAR04568,0,0
MAR04623,0,0.62299203
MAR04625,0,2.276545519
MAR04710,-1.074102987,2.210777236
MAR04841,0,0
MAR08074,0,0.888133526
MAR08653,-0.180804801,0.504948268
MAR03998,0,0
MAR04000,0,0
MAR04002,-1.481849358,2.76710959
MAR04004,-1000,0
MAR04010,0,0
MAR04081,0,0.752039375
MAR04082,0,0
MAR04012,0,1.810990184
MAR04014,0,0
MAR04020,-18.90581875,-0.002157544
MAR04022,0,0
MAR04038,0,0.329004971
MAR04040,0,0
MAR04042,0,1.05097438
MAR04046,0,0
MAR04048,0,0
MAR04080,0,0.604388782
MAR04085,-1.210777236,1.436819
MAR04086,0,0.288905767
MAR04134,0,0.592089017
MAR04135,0,2.037053763
MAR04168,0,0
MAR04171,0,4.143526937
MAR04290,0,1.01
MAR04406,0,0.329004971
MAR04412,-1.05097438,0
MAR04417,0,0.865128517
MAR04418,-0.640818877,2.033051973
MAR04419,0,1.458329622
MAR04421,0,4.143526937
MAR04449,0,0
MAR04450,0,0.42422736
MAR04451,-5.28E-16,2.223955014
MAR04452,-19.90301717,0
MAR04453,0,0
MAR04480,-1.809305895,1.210777236
MAR04481,0,0.604388782
MAR04482,0,0.561473335
MAR04486,0,0
MAR04487,0,2.191983761
MAR04488,0,0
MAR04489,0,2.191983761
MAR04492,0,0
MAR04493,0,0.330119762
MAR04495,0,0
MAR04496,0,1.01
MAR04518,0,1.241827417
MAR04519,0,0.734962228
MAR04520,0,0
MAR04573,0,4.143526937
MAR04574,-1.587094154,0
MAR04600,0,1.809305895
MAR04602,0,1.210777236
MAR04603,-2.210777236,1.220153074
MAR04611,0,18.61295242
MAR04612,0,18.61295242
MAR04614,0,0
MAR04615,0,18.90366121
MAR04617,0,1.121781927
MAR04618,0,1.210973485
MAR04619,0,1.121781927
MAR04621,0,1.211241837
MAR04632,0,0
MAR04646,0,0.83086596
MAR04648,0,0
MAR04649,0,0
MAR04650,0,0
MAR04651,-1.23261058,18.90301717
MAR04663,0,0
MAR04664,0,0
MAR04694,0,0.60411608
MAR04695,-1.210777236,1.809305895
MAR04705,0,0
MAR04709,-0.604388782,1.766249778
MAR04799,0,0.329004971
MAR04802,0,0.329004971
MAR04804,-0.329004971,0
MAR04808,0,0.329004971
MAR04810,0,0.329004971
MAR04812,-0.329004971,0
MAR04814,0,0.329004971
MAR05301,0,1.209470719
MAR05353,-1.809305895,1.210777236
MAR06602,0,0
MAR06603,0,0.83086596
MAR07144,0,0.891561874
MAR08755,0,0
MAR04016,0,1000
MAR04018,-1000,0
MAR04044,0,0
MAR04291,0,0
MAR04420,0,0
MAR04570,0,1000
MAR04572,0,0
MAR04006,0,0
MAR04028,0,0
MAR04030,-3.031101027,-0.003220214
MAR04670,-1000,0
MAR04673,0,0
MAR04675,0,0
MAR06614,-1000,0
MAR06615,0,0
MAR06616,0,0
MAR04635,-1000,0
MAR03931,0,18.90623738
MAR03970,0,0
MAR04008,-1000,0
MAR04032,0,0.252351371
MAR04034,0.001255884,0.357844052
MAR04036,0.001255884,0.357844052
MAR04050,-0.357844052,-0.001255884
MAR04056,0,0.330489546
MAR04059,0,0.200689827
MAR04060,0,0
MAR04127,0,0
MAR04177,0,0
MAR04179,0,0.01
MAR04182,0,1.375298158
MAR04183,0,0.377206107
MAR04192,0,0.51713563
MAR04194,0,0.189032221
MAR04210,0,4.143526937
MAR04211,0,0.360658609
MAR04343,0,1.210777236
MAR04346,0,0.235078363
MAR04484,0,0
MAR04485,0,0
MAR04510,0,1.157704102
MAR04512,-1000,1000
MAR04577,-0.357844052,-0.001255884
MAR04579,-1.210383113,0
MAR04608,-0.357844052,-0.001255884
MAR04575,0.001255884,0.357844052
MAR04637,-0.17859277,5.501271812
MAR04642,0,1.210777236
MAR04643,0,0
MAR04644,0.000966064,0.357554233
MAR04676,0,0.725551997
MAR05299,0,1.210007421
MAR05352,0,1.209470719
MAR06612,-1.494429203,0
MAR06621,0,0.630480792
MAR06622,0,0
MAR06624,0,0
MAR06627,0,3.894900218
MAR08072,0,0
MAR03966,0,0
MAR03967,-1.579721417,0
MAR03968,0.000966064,1.211743301
MAR03999,0,1
MAR04024,-1000,0
MAR04026,-1.166245535,3.89E-19
MAR04061,0,0
MAR04083,0,1.818050205
MAR04136,0,1
MAR04180,0,1.375298158
MAR04185,0,0
MAR04186,0,0
MAR04342,0,0.592089017
MAR04344,-0.235078363,0
MAR04483,0,0
MAR04516,0,0
MAR04601,3.84E-19,1.809305895
MAR04633,0,1.809305895
MAR04640,0,0
MAR04680,-1.210777236,0.273298292
MAR04806,0,0.329004971
MAR06625,0,0
MAR06626,0,0
MAR07160,0.003220214,0.003578016
MAR07161,0,0
MAR07162,0.001610107,0.001789008
MAR07163,0,0
MAR07164,0,0
MAR07713,0,0
MAR07716,0,0
MAR07717,0,0
MAR07721,0,0
MAR07725,0,0
MAR07728,0,0
MAR07801,-1000,0
MAR07863,-1000,0
MAR07864,0,0
MAR07865,-1000,0
MAR07866,0,0
MAR07867,-1.26725624,0
MAR07868,0,0
MAR07869,-1.26725624,0
MAR07870,0,0
MAR07871,-1000,0
MAR07872,0,0
MAR07873,-1.26725624,0
MAR07874,0,0
MAR07875,0,0
MAR07876,-1000,0
MAR07878,0,0
MAR07879,0,0.520617699
MAR07880,0,0.520617699
MAR07881,0,0
MAR07882,-1000,0
MAR07883,0,0
MAR07884,-1000,0
MAR07885,-1000,0
MAR07886,0,0
MAR07887,0,0
MAR07888,-1000,0
MAR07889,0,0
MAR07890,0,0
MAR07891,-1000,0
MAR07892,0,0
MAR07893,0,0
MAR08083,0,0
MAR08085,0,0
MAR08087,0,0
MAR08443,0,0
MAR08444,0,0
MAR08445,0,1.162715385
MAR08448,-1.579721417,0
MAR08449,0,0
MAR08450,0,1000
MAR08451,-1000,0
MAR08452,0,1000
MAR08453,-1000,1000
MAR08454,0,0
MAR08455,-1000,0
MAR08456,0,1000
MAR08457,-1000,0
MAR08458,0,0
MAR08459,-1000,0
MAR08460,0,0
MAR08462,-1000,0
MAR08463,0,1000
MAR08464,-1000,0
MAR08465,-1.579721417,0
MAR08466,-1000,0
MAR08467,-1000,0
MAR08468,-1000,0
MAR08469,-1.579721417,0
MAR08470,-1000,0
MAR08471,-1000,0
MAR08472,-1000,0
MAR08473,0,0.561473335
MAR08474,0,0.293017362
MAR08482,0,0
MAR08485,0,1.228417445
MAR08486,-18.61073719,0.759282361
MAR08487,0,0.360658609
MAR08488,0,0
MAR08489,0,1.01
MAR03802,-1000,3.579078466
MAR03804,-1.437617764,1000
MAR03811,0,0.46764594
MAR03813,-0.46764594,-1.26E-17
MAR03827,0,0
MAR03831,0,1.14730996
MAR03865,0,0.123909277
MAR03870,0,0
MAR03890,0,0.819668699
MAR03892,0,0.005616655
MAR03899,-3.525313815,0.659873058
MAR04109,-1.120602181,0.001887337
MAR04114,0,0.388437237
MAR04115,0,0.005616655
MAR04118,0,0
MAR04196,0,1.116556345
MAR04197,0,0.005616655
MAR04287,0,0.01
MAR04693,0,0.01
MAR06780,0,0.007488873
MAR06970,0,0
MAR07642,-3.971666101,0.01
MAR03807,-1.880741282,-0.336082886
MAR03819,-1.961346047,0
MAR03833,0,0
MAR03835,0,1.961346047
MAR03837,0,0
MAR03956,0,2.301550195
MAR04073,1,1.144794906
MAR04075,0.5,0.64435827
MAR04077,0.5,0.596554669
MAR04212,0.5,1.686540369
MAR04422,0,1.186540369
MAR04583,-0.003687513,0.01
MAR04607,0,0
MAR04776,0,0.12009074
MAR04777,0,0
MAR04778,0,0
MAR04779,0,1.116834701
MAR04780,0,0.120070181
MAR04781,0,0
MAR04785,0,1.120070181
MAR04786,0,1.120602181
MAR05384,0,0.159909431
MAR06938,-0.14435827,0
MAR06965,0,0
MAR06966,0,0
MAR08098,0,0
MAR08427,0,0
MAR08603,0,0.251292359
MAR08604,0,0.251292359
MAR08605,0,0.251292359
MAR08606,0,0.227186891
MAR08609,0,0
MAR08611,0,0
MAR03752,0,1000
MAR03770,0,1000
MAR03784,-1000,0
MAR03839,0,1.02814187
MAR03841,0,1.02814187
MAR03843,0,1.02814187
MAR03883,0,0.942788953
MAR03939,0,0
MAR03974,0,0
MAR04198,0,0.598926499
MAR04200,0,0
MAR04582,-0.01,0.003687513
MAR04584,0,0.01362078
MAR04696,0,0.690291986
MAR04697,0,0
MAR04698,0,0.690291986
MAR04742,0.225064634,2.832024993
MAR04792,-1.832024993,4.51E-20
MAR05392,0,0
MAR05393,0,0
MAR06409,-2.225374601,-7.55E-19
MAR07702,-0.663332786,0
MAR08433,0,0
MAR08434,0,0
MAR08435,0,0
MAR08436,0,0
MAR08437,0,0
MAR08440,0,0.109156003
MAR08441,0,0.109156003
MAR04428,0,0.051560166
MAR04429,0,0.049426334
MAR04430,0,0.049426334
MAR04431,0,0.049426334
MAR05338,0,0
MAR05339,0,1.095554096
MAR08783,0,0.050054404
MAR08784,0,0.050054404
MAR04239,0,0.240192413
MAR04288,0,0.240192413
MAR04597,-0.240192413,0
MAR04599,0,0
MAR04668,0,0.240192413
MAR04737,0,0
MAR04739,0,0.240192413
MAR06415,0,0
MAR06974,0,0.171096351
MAR06975,0,0.171096351
MAR06976,0,0.171096351
MAR06977,5.44E-19,0.171096351
MAR06978,0,0.171096351
MAR06979,0,0.04687017
MAR06980,0,0.04687017
MAR06981,0,0.04687017
MAR06982,0,0.04687017
MAR08025,0,0.034868261
MAR08026,0,0.034868261
MAR08027,0,0.034868261
MAR03164,0,0.240192413
MAR03166,0,0.240192413
MAR03885,0,0.468037941
MAR08091,0,7.90E-35
MAR08092,0,0
MAR08563,0,0.035158133
MAR03935,0,0
MAR04681,0,0.107335203
MAR04682,0,0.107335203
MAR04683,0,0
MAR04685,0,1000
MAR04686,-0.107335203,0
MAR04687,0,1000
MAR08530,0,0
MAR08542,0,0.1100738
MAR03206,0,0.180213284
MAR03208,0,0.843283283
MAR03211,0,0
MAR03213,0,0.843283283
MAR03215,0,0.843283283
MAR03744,0,0.011233309
MAR03757,0,0.018135184
MAR03761,0,0
MAR03778,0,0.180213284
MAR03795,0,0.215668223
MAR04797,0,0
MAR06417,0,0
MAR06419,0,0
MAR06420,0,0
MAR06421,0,0
MAR06422,0,0
MAR03765,0,0.324307911
MAR08787,0,0
MAR04242,0,0.240192413
MAR04243,0,0
MAR06707,0,0.035158133
MAR06713,0,0.035158133
MAR06714,0,0
MAR06716,0,0
MAR06717,0,0
MAR06718,0,0
MAR06719,0,0
MAR06725,0,2.925104968
MAR06730,0,0
MAR06731,0,0.455222673
MAR06734,0,0
MAR06736,0,0
MAR06741,0,0.127723318
MAR06743,0,0.127723318
MAR06745,0,0.008389893
MAR06746,0,0
MAR06747,0,0
MAR06748,0,0
MAR06749,0,0
MAR06750,0,0
MAR06751,0,0
MAR06752,0,0.100322422
MAR06753,0,0
MAR06754,0,0.100322422
MAR06755,0,0
MAR06756,0,0
MAR06758,0,0.270420873
MAR06760,0,0
MAR06761,0,0.251292359
MAR06762,0,0.170849875
MAR06763,0,0.170849875
MAR06764,0,0.170849875
MAR06766,0,0
MAR06767,0,0.170849875
MAR06768,0,0.070606325
MAR06789,0,0.097567157
MAR06790,0,0
MAR06791,0,0.097567157
MAR06808,0,0.220147599
MAR06811,-0.220147599,0
MAR06813,0,0.053055054
MAR06817,0,0
MAR06826,0,0
MAR06829,0,0
MAR06831,0,0
MAR06834,0,0
MAR06841,7.80E-17,0
MAR06849,0,0
MAR06854,0,0
MAR06883,-0.220147599,0
MAR03875,0,0.504899159
MAR03877,0,0.504899159
MAR03912,1.21E-18,1.276119945
MAR03917,0,0.504899159
MAR03920,0,0
MAR03928,0,0
MAR03995,0,1.020610737
MAR04189,0,0
MAR05381,0,0.322810037
MAR05385,0,0.159909431
MAR05386,0,0.159909431
