ReactionID,Compartment,MinFlux,MaxFlux
MAR03905,Glycolysis / Gluconeogenesis,0,0.01
MAR03907,Glycolysis / Gluconeogenesis,0,0.01
MAR04099,Glycolysis / Gluconeogenesis,0,0.380004852009733
MAR04137,Glycolysis / Gluconeogenesis,0,3.72263280791359
MAR04281,Glycolysis / Gluconeogenesis,-8.67249384358037,0.419116259157718
MAR04388,Glycolysis / Gluconeogenesis,-997.76681771537,12.0259391737757
MAR04283,Glycolysis / Gluconeogenesis,0,0.222737653285843
MAR08357,Glycolysis / Gluconeogenesis,0,0.222737653290476
MAR04379,Glycolysis / Gluconeogenesis,0,1000
MAR04301,Glycolysis / Gluconeogenesis,0,1000
MAR04355,Glycolysis / Gluconeogenesis,0,998.686733447437
MAR04358,Glycolysis / Gluconeogenesis,1,1000
MAR04360,Glycolysis / Gluconeogenesis,0,0.167044768199048
MAR04363,Glycolysis / Gluconeogenesis,-997.250314606194,1000
MAR04365,Glycolysis / Gluconeogenesis,-4.36395952935413,-2.74968570787769
MAR04368,Glycolysis / Gluconeogenesis,-996.840845631154,1000
MAR04370,Glycolysis / Gluconeogenesis,0,0.334095885602892
MAR04371,Glycolysis / Gluconeogenesis,0,0.334095885569746
MAR04372,Glycolysis / Gluconeogenesis,0,0.334095885569746
MAR04373,Glycolysis / Gluconeogenesis,-1000,996.84084526955
MAR04375,Glycolysis / Gluconeogenesis,-1000,-1.3132665525603
MAR04381,Glycolysis / Gluconeogenesis,-1000,1000
MAR04391,Glycolysis / Gluconeogenesis,1.3596992134203,1.98765136756734
MAR04394,Glycolysis / Gluconeogenesis,0,1.67217018965801
MAR04396,Glycolysis / Gluconeogenesis,-0.259859651684013,0.129973893996977
MAR04521,Glycolysis / Gluconeogenesis,0,0.235229425986153
MAR06410,Glycolysis / Gluconeogenesis,0,3.7226328079257
MAR06412,Glycolysis / Gluconeogenesis,0,3.7226328079603
MAR07745,Glycolysis / Gluconeogenesis,-1.67216874907676,0
MAR07746,Glycolysis / Gluconeogenesis,0,1.67216903480419
MAR07747,Glycolysis / Gluconeogenesis,0,1.67216903481585
MAR07748,Glycolysis / Gluconeogenesis,-1000,1000
MAR07749,Glycolysis / Gluconeogenesis,-1000,1000
MAR08360,Glycolysis / Gluconeogenesis,0,0.01
MAR03989,Starch and sucrose metabolism,0,0.01
MAR04122,Starch and sucrose metabolism,0,0.167047506175843
MAR04837,Starch and sucrose metabolism,0,0.01
MAR05395,Starch and sucrose metabolism,0,0.128688400084345
MAR05396,Starch and sucrose metabolism,0,0.128688400091396
MAR09727,Starch and sucrose metabolism,0.0011853,0.00131766491413909
MAR05397,Starch and sucrose metabolism,0,0.128688419693761
MAR05398,Starch and sucrose metabolism,0,0.12868841970137
MAR05399,Starch and sucrose metabolism,0,0.12868841970137
MAR05400,Starch and sucrose metabolism,0,0.12868841970137
MAR05401,Starch and sucrose metabolism,0,0.12868841970137
MAR08578,Starch and sucrose metabolism,0,0.01
MAR08592,Starch and sucrose metabolism,0,0.01
MAR08589,Starch and sucrose metabolism,0,0.01
MAR03944,Galactose metabolism,0,1.57359868766266
MAR04128,Galactose metabolism,-0.10604715838415,0.138463718324562
MAR04130,Galactose metabolism,0,0.54329391328577
MAR04131,Galactose metabolism,-0.543293913277935,1.57359847183254
MAR04132,Galactose metabolism,0,0.54329290039109
MAR04303,Galactose metabolism,0,0.01
MAR04414,Galactose metabolism,0,0.54329290037718
MAR04415,Galactose metabolism,0,0.02
MAR04416,Galactose metabolism,0,0.01
MAR04774,Galactose metabolism,-1000,1000
MAR04775,Galactose metabolism,-1000,1000
MAR04832,Galactose metabolism,-0.01,0.01
MAR08761,Galactose metabolism,0,0.01
MAR08762,Galactose metabolism,0,0.01
MAR08766,Galactose metabolism,0,0
MAR08767,Galactose metabolism,0,1.57360463528517
MAR04297,Fructose and mannose metabolism,0,0.334089536403755
MAR04315,Fructose and mannose metabolism,-0.03,1.64216874908843
MAR04316,Fructose and mannose metabolism,-1.63217004891027,0.04
MAR04319,Fructose and mannose metabolism,0,1.67216874908843
MAR04385,Fructose and mannose metabolism,0,0.189440870392087
MAR04386,Fructose and mannose metabolism,0,0.199440870393633
MAR04387,Fructose and mannose metabolism,0,0.198160886140724
MAR04399,Fructose and mannose metabolism,0,0.0160637913555283
MAR04400,Fructose and mannose metabolism,0,0.0160637913555283
MAR04401,Fructose and mannose metabolism,-0.0165386704350686,0
MAR04402,Fructose and mannose metabolism,0,0.016538400951291
MAR04490,Fructose and mannose metabolism,0,0.208357069765331
MAR04706,Fructose and mannose metabolism,0,0.334090755233407
MAR08768,Fructose and mannose metabolism,0,0.0160637346322416
MAR04590,Pentose and glucuronate interconversions,0,1000
MAR04591,Pentose and glucuronate interconversions,0,1000
MAR04592,Pentose and glucuronate interconversions,0,0.0137651112681283
MAR04593,Pentose and glucuronate interconversions,0,0.214279113346319
MAR04595,Pentose and glucuronate interconversions,-0.214282751871496,0.125608119698501
MAR08341,Pentose and glucuronate interconversions,0,0.01
MAR08344,Pentose and glucuronate interconversions,0,0
MAR08352,Pentose and glucuronate interconversions,-0.20428275187307,0.000128179835310394
MAR08353,Pentose and glucuronate interconversions,-0.000128179802373232,0.204279100123671
MAR08726,Pentose and glucuronate interconversions,0,0.01
MAR08727,Pentose and glucuronate interconversions,0,0.122931753413355
MAR08729,Pentose and glucuronate interconversions,0,0.184397630121437
MAR06537,Pentose and glucuronate interconversions,-0.000128179802372982,0.204279100100279
MAR01568,Pyruvate metabolism,0,0.222736916543992
