ReactionID,MinFlux,MaxFlux,Compartment
MAR03905,0,0.01,Glycolysis / Gluconeogenesis
MAR03907,0,0.01,Glycolysis / Gluconeogenesis
MAR04099,0,0.814282435,Glycolysis / Gluconeogenesis
MAR04137,0,1,Glycolysis / Gluconeogenesis
MAR04281,-0.820167711,0.192424644,Glycolysis / Gluconeogenesis
MAR04388,-999.6399818,3.942024251,Glycolysis / Gluconeogenesis
MAR04283,0,0.830641141,Glycolysis / Gluconeogenesis
MAR08357,0,0.830641141,Glycolysis / Gluconeogenesis
MAR04379,0,1,Glycolysis / Gluconeogenesis
MAR04301,0,1000,Glycolysis / Gluconeogenesis
MAR04355,0,999.549751,Glycolysis / Gluconeogenesis
MAR04358,0,1,Glycolysis / Gluconeogenesis
MAR04360,0,0.615590789,Glycolysis / Gluconeogenesis
MAR04363,-999.0010017,1,Glycolysis / Gluconeogenesis
MAR04365,-1000,999.0010678,Glycolysis / Gluconeogenesis
MAR04368,1.009417389,2,Glycolysis / Gluconeogenesis
MAR04370,0,1.922242963,Glycolysis / Gluconeogenesis
MAR04371,0,1.922242963,Glycolysis / Gluconeogenesis
MAR04372,0,1.922242963,Glycolysis / Gluconeogenesis
MAR04373,0,0,Glycolysis / Gluconeogenesis
MAR04375,-1000,-0.450251156,Glycolysis / Gluconeogenesis
MAR04381,-1000,1000,Glycolysis / Gluconeogenesis
MAR04391,0.449226959,1.955103456,Glycolysis / Gluconeogenesis
MAR04394,0,1.664064455,Glycolysis / Gluconeogenesis
MAR04396,-0.873725622,0.88754144,Glycolysis / Gluconeogenesis
MAR04521,0,0.065933482,Glycolysis / Gluconeogenesis
MAR06410,0,3.568839545,Glycolysis / Gluconeogenesis
MAR06412,0,3.568839545,Glycolysis / Gluconeogenesis
MAR07745,-1.663961212,0,Glycolysis / Gluconeogenesis
MAR07746,0,1.66396108,Glycolysis / Gluconeogenesis
MAR07747,0,1.66396108,Glycolysis / Gluconeogenesis
MAR07748,-1000,1000,Glycolysis / Gluconeogenesis
MAR07749,-1000,1000,Glycolysis / Gluconeogenesis
MAR08360,0,0.01,Glycolysis / Gluconeogenesis
MAR03989,0,0,Starch and sucrose metabolism
MAR04122,0,0.032809093,Starch and sucrose metabolism
MAR04837,0,0,Starch and sucrose metabolism
MAR05395,0,0.196836087,Starch and sucrose metabolism
MAR05396,0,0.196836087,Starch and sucrose metabolism
MAR09727,0.000972,0.001080643,Starch and sucrose metabolism
MAR05397,0,0.196836227,Starch and sucrose metabolism
MAR05398,0,0.196836227,Starch and sucrose metabolism
MAR05399,0,0.196836227,Starch and sucrose metabolism
MAR05400,0,0.196836227,Starch and sucrose metabolism
MAR05401,0,0.196836227,Starch and sucrose metabolism
MAR08578,0,0,Starch and sucrose metabolism
MAR08592,0,0,Starch and sucrose metabolism
MAR08589,0,0,Starch and sucrose metabolism
MAR03944,0,2.166364897,Galactose metabolism
MAR04130,0,1.117729458,Galactose metabolism
MAR04131,-1.117729458,2.166363021,Galactose metabolism
MAR04132,0,1.117729458,Galactose metabolism
MAR04303,0,0,Galactose metabolism
MAR04414,0,1.117738097,Galactose metabolism
MAR04415,0,1.01,Galactose metabolism
MAR04416,0,0,Galactose metabolism
MAR04774,-1000,1000,Galactose metabolism
MAR04775,-1000,1000,Galactose metabolism
MAR04832,0,0,Galactose metabolism
MAR08761,0,0,Galactose metabolism
MAR08762,0,0,Galactose metabolism
MAR08766,0,0,Galactose metabolism
MAR08767,0,2.166363062,Galactose metabolism
MAR04297,0,0.814278694,Fructose and mannose metabolism
MAR04315,0,2.201770425,Fructose and mannose metabolism
MAR04316,-2.201759366,0,Fructose and mannose metabolism
MAR04319,0,1.663961559,Fructose and mannose metabolism
MAR04385,0,0.264448463,Fructose and mannose metabolism
MAR04386,0,0.264448463,Fructose and mannose metabolism
MAR04387,0,0.264448463,Fructose and mannose metabolism
MAR04399,0,0.026444846,Fructose and mannose metabolism
MAR04400,0,0.026444846,Fructose and mannose metabolism
MAR04401,-0.026217506,0,Fructose and mannose metabolism
MAR04402,0,0.026217506,Fructose and mannose metabolism
MAR04490,0,0.248197688,Fructose and mannose metabolism
MAR04706,0,0.814278694,Fructose and mannose metabolism
MAR08768,0,0.026444846,Fructose and mannose metabolism
MAR04590,0,1000,Pentose and glucuronate interconversions
MAR04591,0,1000,Pentose and glucuronate interconversions
MAR04592,0,5.40E-05,Pentose and glucuronate interconversions
MAR04593,0,0.010053982,Pentose and glucuronate interconversions
MAR08341,0,0.01,Pentose and glucuronate interconversions
MAR08342,-0.01,0,Pentose and glucuronate interconversions
MAR08344,0,0,Pentose and glucuronate interconversions
MAR08352,0,0,Pentose and glucuronate interconversions
MAR08726,0,0,Pentose and glucuronate interconversions
MAR08727,0,0.000108063,Pentose and glucuronate interconversions
MAR08729,0,0.000108064,Pentose and glucuronate interconversions
MAR06537,0,0,Pentose and glucuronate interconversions
MAR01568,0,0.83063286,Pyruvate metabolism
MAR03853,0,0.615517753,Pyruvate metabolism
MAR03854,0,0.615517753,Pyruvate metabolism
MAR03855,0,1000,Pyruvate metabolism
MAR03857,0,0.05941262,Pyruvate metabolism
MAR03859,0,0.059698224,Pyruvate metabolism
MAR04087,0,1.628557387,Pyruvate metabolism
MAR04091,0,1.628557387,Pyruvate metabolism
MAR04103,0,1.635444159,Pyruvate metabolism
MAR04193,0,1000,Pyruvate metabolism
MAR08497,0,0.615517753,Pyruvate metabolism
MAR08500,0,0.615517753,Pyruvate metabolism
MAR08502,-0.059698224,0.615517753,Pyruvate metabolism
MAR08503,0,0.615517753,Pyruvate metabolism
MAR08504,0,0.05941262,Pyruvate metabolism
MAR08506,0,0.615517753,Pyruvate metabolism
MAR08507,0,1000,Pyruvate metabolism
MAR08508,0,1000,Pyruvate metabolism
MAR08509,0,1000,Pyruvate metabolism
MAR08511,0,0.05970656,Pyruvate metabolism
MAR08514,0,0.065349366,Pyruvate metabolism
MAR08516,0,0.615517753,Pyruvate metabolism
MAR04280,-3.670036168,999.7503166,Pyruvate metabolism
MAR00153,0,0.814292231,Propanoate metabolism
MAR03212,0,0.047105199,Propanoate metabolism
MAR03797,-1000,1000,Propanoate metabolism
MAR03800,0,0.01,Propanoate metabolism
MAR04105,0,0.814278694,Propanoate metabolism
MAR04106,0,0.814278694,Propanoate metabolism
MAR04107,0,0.598678022,Propanoate metabolism
