ReactionID,Compartment,MinFlux,MaxFlux
MAR03905,Glycolysis / Gluconeogenesis,0,0.01
MAR03907,Glycolysis / Gluconeogenesis,0,0.01
MAR04099,Glycolysis / Gluconeogenesis,0,0.383946072086566
MAR04137,Glycolysis / Gluconeogenesis,0,3.71887779565347
MAR04281,Glycolysis / Gluconeogenesis,-8.72133449765101,0.422433686828219
MAR04388,Glycolysis / Gluconeogenesis,-997.79336782905,12.0761057003228
MAR04283,Glycolysis / Gluconeogenesis,0,0.223877165266684
MAR08357,Glycolysis / Gluconeogenesis,0,0.223877165261767
MAR04379,Glycolysis / Gluconeogenesis,0,1000
MAR04301,Glycolysis / Gluconeogenesis,0,1000
MAR04355,Glycolysis / Gluconeogenesis,0,998.686859858615
MAR04358,Glycolysis / Gluconeogenesis,1,1000
MAR04360,Glycolysis / Gluconeogenesis,0,0.168339232099401
MAR04363,Glycolysis / Gluconeogenesis,-997.257725476502,1000
MAR04365,Glycolysis / Gluconeogenesis,-4.36725149485585,-2.74227456720905
MAR04368,Glycolysis / Gluconeogenesis,-996.843905745252,1000
MAR04370,Glycolysis / Gluconeogenesis,0,0.336684905931747
MAR04371,Glycolysis / Gluconeogenesis,0,0.336684905932987
MAR04372,Glycolysis / Gluconeogenesis,0,0.336684905932987
MAR04373,Glycolysis / Gluconeogenesis,-1000,996.843905745187
MAR04375,Glycolysis / Gluconeogenesis,-1000,-1.31314014136552
MAR04381,Glycolysis / Gluconeogenesis,-1000,1000
MAR04391,Glycolysis / Gluconeogenesis,1.36023742938074,1.98970576770014
MAR04394,Glycolysis / Gluconeogenesis,0,1.67543846977857
MAR04396,Glycolysis / Gluconeogenesis,-0.264260513823491,0.132311092984742
MAR04521,Glycolysis / Gluconeogenesis,0,0.240754214403652
MAR06410,Glycolysis / Gluconeogenesis,0,3.71887779565046
MAR06412,Glycolysis / Gluconeogenesis,0,3.71887779560663
MAR07745,Glycolysis / Gluconeogenesis,-1.67543963293131,0
MAR07746,Glycolysis / Gluconeogenesis,0,1.67543963285789
MAR07747,Glycolysis / Gluconeogenesis,0,1.67543963284316
MAR07748,Glycolysis / Gluconeogenesis,-1000,1000
MAR07749,Glycolysis / Gluconeogenesis,-1000,1000
MAR08360,Glycolysis / Gluconeogenesis,0,0.01
MAR03989,Starch and sucrose metabolism,0,0.01
MAR04122,Starch and sucrose metabolism,0,0.168525245480694
MAR04837,Starch and sucrose metabolism,0,0.01
MAR05395,Starch and sucrose metabolism,0,0.130489525199772
MAR05396,Starch and sucrose metabolism,0,0.130489525197618
MAR09727,Starch and sucrose metabolism,0.0011925,0.00132592935694423
MAR05397,Starch and sucrose metabolism,0,0.130489050872747
MAR05398,Starch and sucrose metabolism,0,0.130489050873952
MAR05399,Starch and sucrose metabolism,0,0.130489050873952
MAR05400,Starch and sucrose metabolism,0,0.130489050873952
MAR05401,Starch and sucrose metabolism,0,0.130489050873952
MAR08578,Starch and sucrose metabolism,0,0.01
MAR08592,Starch and sucrose metabolism,0,0.01
MAR08589,Starch and sucrose metabolism,0,0.01
MAR03944,Galactose metabolism,0,1.59542451059187
MAR04128,Galactose metabolism,-0.106029030570814,0.13990232158111
MAR04130,Galactose metabolism,0,0.549696805527659
MAR04131,Galactose metabolism,-0.549698242566759,1.59542352730998
MAR04132,Galactose metabolism,0,0.549696805541166
MAR04303,Galactose metabolism,0,0.01
MAR04414,Galactose metabolism,0,0.54969680551946
MAR04415,Galactose metabolism,0,0.02
MAR04416,Galactose metabolism,0,0.01
MAR04774,Galactose metabolism,-1000,1000
MAR04775,Galactose metabolism,-1000,1000
MAR04832,Galactose metabolism,-0.01,0.01
MAR08761,Galactose metabolism,0,0.01
MAR08762,Galactose metabolism,0,0.01
MAR08766,Galactose metabolism,0,0
MAR08767,Galactose metabolism,0,1.59542352727158
MAR04297,Fructose and mannose metabolism,0,0.336684783479917
MAR04315,Fructose and mannose metabolism,-0.03,1.64543858801649
MAR04316,Fructose and mannose metabolism,-1.63543963286874,0.04
MAR04319,Fructose and mannose metabolism,0,1.67543858801803
MAR04385,Fructose and mannose metabolism,0,0.190856785590585
MAR04386,Fructose and mannose metabolism,0,0.200856785583741
MAR04387,Fructose and mannose metabolism,0,0.1998276797649
MAR04399,Fructose and mannose metabolism,0,0.0161831463056476
MAR04400,Fructose and mannose metabolism,0,0.0161831463056476
MAR04401,Fructose and mannose metabolism,-0.0166718062178576,0
MAR04402,Fructose and mannose metabolism,0,0.0166718073858664
MAR04490,Fructose and mannose metabolism,0,0.209700527436036
MAR04706,Fructose and mannose metabolism,0,0.336678517028405
MAR08768,Fructose and mannose metabolism,0,0.0161831473555765
MAR04590,Pentose and glucuronate interconversions,0,1000
MAR04591,Pentose and glucuronate interconversions,0,1000
MAR04592,Pentose and glucuronate interconversions,0,0.0142628260150611
MAR04593,Pentose and glucuronate interconversions,0,0.215753973566166
MAR04595,Pentose and glucuronate interconversions,-0.215754546961444,0.127008136232245
MAR08341,Pentose and glucuronate interconversions,0,0.01
MAR08344,Pentose and glucuronate interconversions,0,0
MAR08352,Pentose and glucuronate interconversions,-0.205754546960762,0.000128998090853294
MAR08353,Pentose and glucuronate interconversions,-0.000128998090852942,0.205753947142189
MAR08726,Pentose and glucuronate interconversions,0,0.01
MAR08727,Pentose and glucuronate interconversions,0,0.123915464737539
MAR08729,Pentose and glucuronate interconversions,0,0.18587319711318
MAR06537,Pentose and glucuronate interconversions,-0.000128998090852942,0.205753947122782
MAR01568,Pyruvate metabolism,0,0.223876324579464
