"","ReactionID","Flux","ReactionName","Subsystem","Equation"
"1","MAR03905",0,"ALCD2if","Glycolysis / Gluconeogenesis","ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c]"
"2","MAR03907",0,"ALCD2yf","Glycolysis / Gluconeogenesis","ethanol[c] + NADP+[c] => acetaldehyde[c] + H+[c] + NADPH[c]"
"3","MAR04099",0,"ACSm","Glycolysis / Gluconeogenesis","acetate[m] + ATP[m] + CoA[m] => acetyl-CoA[m] + AMP[m] + PPi[m]"
"4","MAR04137",0,"PDHm","Glycolysis / Gluconeogenesis","CoA[m] + NAD+[m] + pyruvate[m] => acetyl-CoA[m] + CO2[m] + NADH[m]"
"5","MAR04281",1,"r0173","Glycolysis / Gluconeogenesis","H+[p] + NADH[p] + pyruvate[p] <=> L-lactate[p] + NAD+[p]"
"6","MAR04388",-0.292804267323387,"LDH_L","Glycolysis / Gluconeogenesis","H+[c] + NADH[c] + pyruvate[c] <=> L-lactate[c] + NAD+[c]"
"7","MAR04283",0,"ALDD2y","Glycolysis / Gluconeogenesis","acetaldehyde[c] + H2O[c] + NADP+[c] => acetate[c] + 2 H+[c] + NADPH[c]"
"8","MAR08357",1.00061947157372,"ALDD2xm","Glycolysis / Gluconeogenesis","acetaldehyde[m] + H2O[m] + NAD+[m] => acetate[m] + 2 H+[m] + NADH[m]"
"9","MAR04379",0,"PFK","Glycolysis / Gluconeogenesis","ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-1,6-bisphosphate[c] + H+[c]"
"10","MAR04301",0.498041799976157,"r0191","Glycolysis / Gluconeogenesis","fructose-6-phosphate[c] + UTP[c] => fructose-1,6-bisphosphate[c] + H+[c] + UDP[c]"
"11","MAR04355",0,"r0407","Glycolysis / Gluconeogenesis","DHAP[c] + erythrose-4-phosphate[c] => sedoheptulose-1,7-bisphosphate[c]"
"12","MAR04358",0.5,"PYK","Glycolysis / Gluconeogenesis","ADP[c] + H+[c] + PEP[c] => ATP[c] + pyruvate[c]"
"13","MAR04360",0,"r0055","Glycolysis / Gluconeogenesis","H2O[c] + methylglyoxal[c] + NADP+[c] => 2 H+[c] + NADPH[c] + pyruvate[c]"
"14","MAR04363",0,"ENO","Glycolysis / Gluconeogenesis","2-phospho-D-glycerate[c] <=> H2O[c] + PEP[c]"
"15","MAR04365",0,"PGM","Glycolysis / Gluconeogenesis","2-phospho-D-glycerate[c] <=> 3-phospho-D-glycerate[c]"
"16","MAR04368",0.5,"PGK","Glycolysis / Gluconeogenesis","1,3-bisphospho-D-glycerate[c] + ADP[c] <=> 3-phospho-D-glycerate[c] + ATP[c]"
"17","MAR04370",1.67612699588154,"ACYP","Glycolysis / Gluconeogenesis","1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c]"
"18","MAR04371",0,"DPGM","Glycolysis / Gluconeogenesis","1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c] + H+[c]"
"19","MAR04372",0,"DPGase","Glycolysis / Gluconeogenesis","2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]"
"20","MAR04373",-2.17612699588154,"GAPD","Glycolysis / Gluconeogenesis","1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> GAP[c] + NAD+[c] + Pi[c]"
"21","MAR04375",-0.498041799976157,"FBA","Glycolysis / Gluconeogenesis","DHAP[c] + GAP[c] <=> fructose-1,6-bisphosphate[c]"
"22","MAR04381",-0.14434929446027,"PGI","Glycolysis / Gluconeogenesis","fructose-6-phosphate[c] <=> glucose-6-phosphate[c]"
"23","MAR04391",0.5,"TPI","Glycolysis / Gluconeogenesis","DHAP[c] <=> GAP[c]"
"24","MAR04394",0,"HEX1","Glycolysis / Gluconeogenesis","ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c] + H+[c]"
"25","MAR04396",0.14776140447861,"PGMT","Glycolysis / Gluconeogenesis","glucose-1-phosphate[c] <=> glucose-6-phosphate[c]"
"26","MAR04521",0,"G6PPer","Glycolysis / Gluconeogenesis","glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r]"
"27","MAR06410",0,"r0383","Glycolysis / Gluconeogenesis","H+[m] + lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m]"
"28","MAR06412",0,"r0555","Glycolysis / Gluconeogenesis","CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m]"
"29","MAR07745",0,"HMR_7745","Glycolysis / Gluconeogenesis","beta-D-glucose[c] <=> glucose[c]"
"30","MAR07746",0,"HMR_7746","Glycolysis / Gluconeogenesis","ATP[c] + beta-D-glucose[c] => ADP[c] + beta-D-glucose-6-phosphate[c] + H+[c]"
"31","MAR07747",0,"HMR_7747","Glycolysis / Gluconeogenesis","ADP[c] + beta-D-glucose[c] => AMP[c] + beta-D-glucose-6-phosphate[c] + H+[c]"
"32","MAR07748",0,"HMR_7748","Glycolysis / Gluconeogenesis","beta-D-glucose-6-phosphate[c] <=> glucose-6-phosphate[c]"
"33","MAR07749",0,"HMR_7749","Glycolysis / Gluconeogenesis","beta-D-glucose-6-phosphate[c] <=> fructose-6-phosphate[c]"
"34","MAR08360",0,"CAT2p","Glycolysis / Gluconeogenesis","ethanol[p] + H2O2[p] => acetaldehyde[p] + 2 H2O[p]"
"35","MAR03989",0,"MALTe","Starch and sucrose metabolism","H2O[s] + maltose[s] => 2 glucose[s]"
"36","MAR04122",0,"UDPGD","Starch and sucrose metabolism","H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 3 H+[c] + 2 NADH[c] + UDP-glucuronate[c]"
"37","MAR04837",0,"TREHe","Starch and sucrose metabolism","H2O[s] + trehalose[s] => 2 glucose[s]"
"38","MAR05395",0,"HMR_5395;GGNG","Starch and sucrose metabolism","glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c]"
"39","MAR05396",0,"GLGNS1","Starch and sucrose metabolism","glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c]"
"40","MAR09727",0.00217577780427008,"HMR_9727","Starch and sucrose metabolism","UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c]"
"41","MAR05397",0,"GLBRAN","Starch and sucrose metabolism","glycogenin G11[c] => glycogenin G4G7[c]"
"42","MAR05398",0,"GLPASE1","Starch and sucrose metabolism","glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c]"
"43","MAR05399",0,"r1391","Starch and sucrose metabolism","glycogenin G4G4[c] => glycogenin G7G1[c]"
"44","MAR05400",0,"r1392","Starch and sucrose metabolism","glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c]"
"45","MAR05401",0,"r1393","Starch and sucrose metabolism","glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c]"
"46","MAR08578",0,"HMR_8578;RE0915C","Starch and sucrose metabolism","H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c]"
"47","MAR08592",0,"MLTG1ly","Starch and sucrose metabolism","H2O[l] + maltotriose[l] => glucose[l] + maltose[l]"
"48","MAR08589",0,"MALTly","Starch and sucrose metabolism","H2O[l] + maltose[l] => 2 glucose[l]"
"49","MAR03944",0,"GALU","Galactose metabolism","glucose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-glucose[c]"
"50","MAR04130",0.00217577780427008,"GALK","Galactose metabolism","ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c] + H+[c]"
"51","MAR04131",0,"UGLT","Galactose metabolism","glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c]"
"52","MAR04132",0.14776140447861,"UGLT","Galactose metabolism","galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c]"
"53","MAR04303",0,"SUCRe","Galactose metabolism","H2O[s] + sucrose[s] => fructose[s] + glucose[s]"
"54","MAR04414",0.14776140447861,"GALK","Galactose metabolism","ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c] + H+[c]"
"55","MAR04415",0,"LACZe","Galactose metabolism","H2O[s] + lactose[s] => galactose[s] + glucose[s]"
"56","MAR04416",0,"r0627","Galactose metabolism","galactosylglycerol[s] + H2O[s] => galactose[s] + glycerol[s]"
"57","MAR04774",0,"r0610","Galactose metabolism","CDP[c] + H+[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]"
"58","MAR04775",0,"r0611","Galactose metabolism","D-tagatose-6-phosphate[c] + ITP[c] <=> H+[c] + IDP[c] + tagatose-1,6-bisphosphate[c]"
"59","MAR04832",0,"r0737","Galactose metabolism","3-keto-beta-D-galactose[s] + glucose[s] <=> 3-ketolactose[s] + H2O[s]"
"60","MAR08761",0,"HMR_8761","Galactose metabolism","ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c] + H+[c]"
"61","MAR08762",0,"HMR_8762","Galactose metabolism","D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c]"
"62","MAR08766",0,"GALOR","Galactose metabolism","galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c]"
"63","MAR08767",0.00217577780427008,"GALT","Galactose metabolism","alpha-D-galactose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-galactose[c]"
"64","MAR04297",0,"PFK26","Fructose and mannose metabolism","ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c] + H+[c]"
"65","MAR04315",0,"SBTD_D2","Fructose and mannose metabolism","D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c]"
"66","MAR04316",0,"SBTR","Fructose and mannose metabolism","D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c]"
"67","MAR04319",0,"HEX7","Fructose and mannose metabolism","ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c] + H+[c]"
"68","MAR04385",0.00185841472115245,"PMANM","Fructose and mannose metabolism","mannose-6-phosphate[c] => mannose-1-phosphate[c]"
"69","MAR04386",0.00185841472115245,"MAN1PT2","Fructose and mannose metabolism","GDP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c]"
"70","MAR04387",0,"r0208","Fructose and mannose metabolism","GTP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c]"
"71","MAR04399",0,"GMAND","Fructose and mannose metabolism","GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c]"
"72","MAR04400",0,"r0782","Fructose and mannose metabolism","GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c]"
"73","MAR04401",0,"F1PGT","Fructose and mannose metabolism","GDP-L-fucose[c] + PPi[c] <=> GTP[c] + H+[c] + L-fucose-1-phosphate[c]"
"74","MAR04402",0,"FK","Fructose and mannose metabolism","6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + H+[c] + L-fucose-1-phosphate[c]"
"75","MAR04490",0,"HEX4","Fructose and mannose metabolism","ATP[c] + mannose[c] => ADP[c] + H+[c] + mannose-6-phosphate[c]"
"76","MAR04706",0,"FBP26","Fructose and mannose metabolism","fructose-2,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]"
"77","MAR08768",0,"GFUCS","Fructose and mannose metabolism","GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c]"
"78","MAR04590",0,"XYLUR","Pentose and glucuronate interconversions","H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c]"
"79","MAR04591",0,"XYLTD_Dr;r0784","Pentose and glucuronate interconversions","NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c]"
"80","MAR04592",0,"HMR_4592","Pentose and glucuronate interconversions","D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c]"
"81","MAR04593",0,"XYLTD_Dr;r0784","Pentose and glucuronate interconversions","NAD+[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c]"
"82","MAR08341",0,"ARABR","Pentose and glucuronate interconversions","H+[c] + L-arabinose[c] + NADPH[c] => L-arabitol[c] + NADP+[c]"
"83","MAR08342",0,"ABTD","Pentose and glucuronate interconversions","H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c]"
"84","MAR08344",0,"GULNDer","Pentose and glucuronate interconversions","glucuronate[r] + H+[r] + NADPH[r] <=> L-gulonate[r] + NADP+[r]"
"85","MAR08352",0,"GULN3D","Pentose and glucuronate interconversions","3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c]"
"86","MAR08726",0,"RBK_D","Pentose and glucuronate interconversions","ATP[c] + D-ribulose[c] => ADP[c] + H+[c] + ribulose-5-phosphate[c]"
"87","MAR08727",0,"UDPG1P","Pentose and glucuronate interconversions","H2O[c] + UDP-glucuronate[c] => D-glucuronate 1-phosphate[c] + 2 H+[c] + UMP[c]"
"88","MAR08729",0,"UDPGNP","Pentose and glucuronate interconversions","H2O[c] + UDP-glucuronate[c] => glucuronate[c] + H+[c] + UDP[c]"
"89","MAR06537",0,"RE0383C","Pentose and glucuronate interconversions","glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c]"
"90","MAR01568",0,"ALDD2x","Pyruvate metabolism","acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + 2 H+[c] + NADH[c]"
"91","MAR03853",0,"LGTHL","Pyruvate metabolism","GSH[c] + methylglyoxal[c] => (R)-S-lactoylglutathione[c]"
"92","MAR03854",0,"ALCD22_L","Pyruvate metabolism","H+[c] + methylglyoxal[c] + NADH[c] => lactaldehyde[c] + NAD+[c]"
"93","MAR03855",0,"HMR_3855","Pyruvate metabolism","H+[c] + lactaldehyde[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]"
"94","MAR03857",0,"GLYOX","Pyruvate metabolism","(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c] + H+[c]"
"95","MAR03859",0,"HMR_3859","Pyruvate metabolism","D-lactate[c] + 2 ferricytochrome C[m] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c]"
"96","MAR04087",0,"ME1m","Pyruvate metabolism","malate[m] + NAD+[m] => CO2[m] + NADH[m] + pyruvate[m]"
"97","MAR04091",0,"ME2m","Pyruvate metabolism","malate[m] + NADP+[m] => CO2[m] + NADPH[m] + pyruvate[m]"
"98","MAR04103",0,"PEPCKm","Pyruvate metabolism","GTP[m] + OAA[m] => CO2[m] + GDP[m] + PEP[m]"
"99","MAR04193",0.00280677105594389,"r0153","Pyruvate metabolism","CDP[c] + H+[c] + PEP[c] => CTP[c] + pyruvate[c]"
"100","MAR08497",0,"ALR2","Pyruvate metabolism","H+[c] + methylglyoxal[c] + NADPH[c] => hydroxyacetone[c] + NADP+[c]"
"101","MAR08500",0,"ALR3","Pyruvate metabolism","H+[c] + hydroxyacetone[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]"
"102","MAR08502",0,"LALDO","Pyruvate metabolism","(R)-S-lactoylglutathione[c] + H+[c] + NADH[c] <=> D-lactaldehyde[c] + GSH[c] + NAD+[c]"
"103","MAR08503",0,"LCADi","Pyruvate metabolism","H2O[c] + lactaldehyde[c] + NAD+[c] => 2 H+[c] + L-lactate[c] + NADH[c]"
"104","MAR08504",0,"LCADi_D","Pyruvate metabolism","D-lactaldehyde[c] + H2O[c] + NAD+[c] => D-lactate[c] + 2 H+[c] + NADH[c]"
